headword,translations
aal,ungurys
aarß,subine; szikkinne
aarßbacken,bullis
aarßwolf,bullu patrinnimas
aaß,mayta; sterwa; merliena
aaßknochen,maitkaulis
abarbeiten,nudirbti; uzdirbti
abäzen,depasti; nuesti
abäzung,nuedimas
abbacken,perkepti
abbeißen,nukasti
abbilden,numolawoti; nuraßyti
abbildung,numolawojimas; nuraßimas
abbiß,nukastimmas
abbitt,atsimeldimas; atsipraßimas
abbitten,atsimelsti; atsipraßyti
abblasen,nupusti
abblatten,nuskinti
abborgen,apzyczyti
abbrechen,nulaußti
abbrennen,nudeginti
abbreviatur,patrumpinnimas
abbrevüren,patrumpinti
abbruch,ißkada
abbruch thun,ißkaditi
abbrühen,nußuttinti
abcirckeln,nuraßyti
abdancken,atdekawoti; atsidekawoti
abdecken,atdengti
abdringen,ißwerßti
abdrücken,nuspausti
abend,wagaras
abendbrodt,paludienei
abenddemmerung,apitamse
abendmahl,weczere
abendmahlzeit,wakarenie
abendroth,pazáras
abends,wakarais
abendstern,wakaro zwaißde
aber,bet; zalà; alle
aberdoch,betaig
aberglaube,priewiera; prießtikkis
aberglaubisch,priewernas; prießtikkys
abermahl,wel
aberwerwitzig,passutes
aberwitz,passutumas
abfahrt,nuwazawimas
abfall,nupûlimas
abfallen,nupulti; nukristi
abfarben,nukrosyti
abfeilen,nupielûti
abfertigen,nuszusti
abfordern,atimti
abfreßen,nuesti
abführen,ißwesti
abführung,ißwedimas
abgang,átlaikas; átrezas; átkarpai
abgehen,numirti; ißdwesti
abgelebt,pargiwentas
abgelegen,tolus; atstus
abgelegtes kleyd,parnebotas
abgemattet,pailses
abgemergelt,nuwarges; nûwargintas
abgesagter feind,newidonas
abgesandter,paßustas
abgeschoben,atstumtas
abgeschreckt,nugandintas
abgewehnen,nutraukti; nujaukinti
abgießen,nulieti
abglitschen,nuslisti; nusmukti
abgott,balwonas
abgötterey,balwonyste
abgottisch,balwonißkas
abgrund,bedugnis
abgunst,pawydas; pawydejimas
abgunstig,pawydus
abgunstig seyn,pawydeti
abhacken,nukapoti
abhalten,nulaikyti
abhandeln,nupriekoti
abhandlung,nuprekiojimas
abharcksal,nûgrebos
abhauen,nukirsti
abhauen die äste,genneti; nugenneti
abhobeln,nudrosti
abkehren,nugreßti; nulenkti
abkochen,ißwirti
abkommen,atspeti; atlikti
abkürtzen,nutrumpinti
abladen,ißkrauti
ablaß,atleidimmas
ablaßen,atleisti
ablauff,nubegimas
ablauffen,nubegti
ablecken,nulaizyti; nulaßeti
ablegen,attadeti; atmesti
ableihen,pazyczyti
ableihung,pazyczymas
ableiten,nuwesti
ablencken,nukreipti
ablesen,nurinkti
abmercken,suprasti
abmeßen,atseiketi
abmeyhen,nukirsti
